Entry,SMILES,Label-1,Label-2
133,CCCCCCCCCCCCc1ccc(cc1)NC(=O)c1cc(/N=N/c2cc(cc(c2)C(=O)Nc2ccc(cc2)CCCCCCCCCCCC)C(=O)Nc2ccc(cc2)CCCCCCCCCCCC)cc(c1)C(=O)Nc1ccc(cc1)CCCCCCCCCCCC,0,NA
5003,Cc1c(-c2nn(-c3ccccc3)cc2C=O)cnn1C,0,NA
2378,CCN(C(=O)CCCl)c1ccccc1,0,NA
8146,CCOC(=O)CC(=O)C(C)NC(=O)C1=CC=CC=C1,0,NA
1127,CCCCCCC(C)C(C(=O)O)C(=O)O,0,NA
3742,Cc1c(OP(=O)(O)O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2.[NaH],0,NA
8153,COC(=O)C(C(=O)OC)C(C[N+](=O)[O-])c1ccc(OC)cc1,0,NA
4510,CCC(C)C(C(=O)Cl)c1ccccc1,0,NA
9567,CO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,0,NA
2036,O=Cc1sc(Oc2ccccc2)nc1Cl,0,NA
3687,O=S(=O)(O)O.[MgH2],0,NA
171,COC1=CC=C(C=C1)C(O)=O,0,NA
8413,CC(C)(C)[Si](C)(C)OCC1=CC2=C(C=C1)C=C(C=C2)Br,0,NA
1952,CCCCC[C@H](O)[C@@H](/C=C/C=C/C=C\C/C=C\CCCC(=O)O)SC[C@H](N)C(=O)O,0,NA
3815,C(C(C=O)O)OP(=O)([O-])[O-],0,NA
4684,O=P([O-])([O-])[O-].[Cd+2].[Cd+2].[Cl-],0,NA
2172,CC(C)(C)c1n[nH]cc1C=O,0,NA
2794,CCCOC(=O)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,0,NA
2504,O=S(=O)(c1cccs1)n1ccc2c(Br)cccc21,0,NA
5127,Cl.Fc1cccc(C2CCNCC2)c1F,0,NA
8027,CC1(C)CC[C@]2(C=O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0,NA
1330,CC(C)Oc1cccc(C(=O)CC(=O)O)c1,0,NA
2684,Cn1nc(C(F)(F)F)c(Cl)c1C(=O)NN,0,NA
7967,CCn1cc(COc2ccccc2N)c(C)n1,0,NA
3135,Cc1ccc(-n2nc(C(F)(F)F)cc2OCC(=O)NN)cc1,0,NA
7929,COc1ccc2c(c1)OC(=O)/C=C(/c1ccc(OC3OC(CO)C(O)C(O)C3O)cc1)C(OC1OC(CO)C(O)C(O)C1O)C2,0,NA
1319,N#CCc1cc(C(F)F)ccc1F,0,NA
8411,[2H]c1c([2H])c(C(=O)OC)c([2H])c(C(=O)OC)c1[2H],0,NA
7980,C1=CC(=CN=C1)C(=O)/C=C(/C(F)(F)F)\[O-].[Na+],0,NA
9758,Cl.Cl.NCCN1CCCCC1,0,NA
7489,O=C(O)CS(=O)(=O)Cn1cc(Cl)cn1,0,NA
2047,NS(=O)(=O)N1CCC(C(=O)O)CC1,0,NA
3273,Cn1cc(B2OC(C)(C)C(C)(C)O2)ccc1=O,0,NA
3309,Cl.O=C1N(c2cccc(Cc3ccccc3)c2)CC2CNCCN12,0,NA
4505,CN(C(=O)CN1C(=O)COc2cc(Cl)c(Cl)cc21)[C@@H](CN1CCOCC1)c1ccc(-c2ccc(C(=O)O)cc2)cc1,0,NA
6668,Cc1nn(C)cc1-c1cc(C(F)F)nc2sc(C(N)=O)c(N)c12,0,NA
3351,CSc1cccc(N2CC3CN(C(=O)OC(C)(C)C)CCN3C2=O)c1,0,NA
4101,CO[Si](CCCOCC(O)CNc1cccc(B(O)O)c1)(OC)OC,0,NA
7507,Cc1c(Br)c(C(=O)Cl)nn1C,0,NA
8542,CCc1ccc(Oc2cc(Cl)nc(N)n2)cc1,0,NA
455,CCNC(=O)c1cccc(-c2cnc3ccc(OC4CCCCC4)nn23)c1,0,NA
2598,O=C(O)c1ccccc1C(=O)NCCN(CO)CCN1C(=O)c2ccccc2C1=O.OCCN(CCO)CCO,0,NA
5186,S=C=Nc1nn(Cc2c(Cl)cccc2Cl)cc1Cl,0,NA
842,Nc1ccc(F)c2c(=O)[nH][nH]c12,0,NA
5028,Nc1ccc([N+](=O)[O-])c(B(O)O)c1,0,NA
9057,CN1C(=O)Cc2cc(Br)cc(Br)c21,0,NA
4423,COc1cc(C(=O)NN)ccc1O,0,NA
7195,Cc1nn(C)cc1CSCC(=O)O,0,NA
7537,O=C(O)c1ccc(OCn2cc(Cl)cn2)cc1,0,NA
9951,CCOC(=O)/C=C/B1OC(C)(C)C(C)(C)O1,0,NA
6317,O=C(O)C(Oc1ccc(Cl)cc1Cl)Oc1ccc(Cl)cc1Cl,0,NA
1509,N#C/N=C(\S)SCCCOc1ccc(C#N)cc1,0,NA
1823,Cc1cc(Br)c(C=NO)s1,0,NA
2042,CCCn1c(=O)[nH]c(=O)c2c(C(=O)O)cc(C3CC3)nc21,0,NA
714,O=C(O)c1c[nH]c2nccc(Br)c12,0,NA
2961,CC=CC(C)c1ccncc1,0,NA
8997,CC1=C(SC2=NC(=NC(=C12)NC(C)C(=O)O)C)C,0,NA
3576,F[Co](F)F,0,NA
58,OCCCCCCCCCCCC#Cc1ccc(cc1)c1ccc(cc1)C#N,0,NA
10035,CCOC(=O)c1cn2c(Br)cnc2nc1C(F)(F)F,0,NA
4267,CCCCOC1=CC=C(C=C1)NCC(=O)O,0,NA
8004,CC(C)(C)Cc1ccccc1,0,NA
6296,CC(=O)Oc1cccc2oc3ccccc3c12,0,NA
47,CCCC1CCC(CC1)C1COC(OC1)c1cc(F)c(c(c1)F)F,0,NA
31,CCCCCCOc1ccc(cc1)OC(=O)c1ccc(c(c1)C=C)C(=O)Oc1ccc(cc1)OCCCCCC,0,NA
9083,Nc1ccc(Br)c(Cl)c1N,0,NA
8216,Oc1c(-n2cncn2)cnn1-c1cccc(Cl)n1,0,NA
1500,Cc1cc(OCCCS/C(S)=N/C#N)ccc1Cl,0,NA
1697,O=C1CCNCC2CCCN12,0,NA
1448,C1=CC(=C(N=C1)C(F)(F)F)CC(=O)O,0,NA
2499,COC(=O)[C@@H]1CCC(=O)N1C(C)C,0,NA
2518,CN(C)/N=C/C1=NC(=CC=C1)/C=N/N(C)C,0,NA
9254,NC(=O)c1ccncc1Cl,0,NA
7424,O=C(O)c1ccc(Cn2ccc([N+](=O)[O-])n2)s1,0,NA
3216,[Ba].ON(=O)=O,0,NA
434,CCOC(=O)CC(C)O[N+](=O)[O-],0,NA
5390,CCc1c[nH]c2ncnc(Cl)c12,0,NA
7936,Cc1cc([N+](=O)[O-])nn1CCO,0,NA
390,CC(C)c1cc(C(C)C)c(-c2ccccc2P(=O)(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,0,NA
1978,CC(=O)OC1=C(C=C(C=C1)Cl)/C=C/C2=CC=CC=C2Br,0,NA
9707,CC(C)(C)OC(=O)N1C[C@H](N)[C@@H](F)C1,0,NA
479,C=C[C@@H]([C@H]1CO1)O,0,NA
6431,CCOC(=O)C(C)n1cc([N+](=O)[O-])cn1,0,NA
8671,CC(N)c1cccc2cc[nH]c12,0,NA
6725,CCOC(=O)Nc1cn2nc(Cl)ccc2n1,0,NA
7609,O=C(O)CCn1ccc(C(=O)O)n1,0,NA
1087,[Ru],0,NA
4609,OCCn1cc(Cl)cn1,0,NA
6372,Nc1nc(N)c2c(OCC3CCN(Cc4c(Cl)cccc4Cl)CC3)cccc2n1,0,NA
2576,CC(=CCC1=CC2=C(C(=C1O)O)OC3=C(C=CC(=C3C2=O)O)O)C,0,NA
6605,CCn1cc(C2=Nn3c(nnc3C(F)F)SC2)c(C)n1,0,NA
843,Fc1ccc(I)c2[nH]ccc12,0,NA
9685,CCOC(=O)c1cc(OC)c(OC)cc1[N+](=O)[O-],0,NA
9007,C[C@@H](C(=O)O)N(c1cc(Cl)ccc1Cl)S(C)(=O)=O,0,NA
2507,O=S(=O)(c1ccccc1)n1ccc2c(Br)cc(F)cc21,0,NA
5232,O=C(OCc1ccccc1)N1CCC(S)C1,0,NA
10070,Cc1ccc(OC2CC(SC3=N/C(=C\c4cccs4)C(=O)N3c3ccccc3)OC2Oc2ccc(C)cc2)cc1,0,NA
112,CCCc1ccc(cc1)C#Cc1ccc(cc1)OC/C=C/C(F)(F)F,0,NA
9036,COC(=O)CCc1cc2c(s1)NC(=O)CN=C2c1ccccc1Cl,0,NA
1777,C1=CC=C(C=C1)COC2=NC(=NC(=C2)N)N,0,NA
5906,CC(=O)C(=O)C12CCC(O1)C1COC(=O)C12C,0,NA
1484,COc1ccccc1OCCCCS/C(S)=N/C#N,0,NA
2183,O=C1C(=CNc2ccc3c(c2)OCO3)C(=O)c2ccccc21,0,NA
324,CS(=O)(=O)c1ccc(N2CCNCC2)c(S(C)(=O)=O)c1,0,NA
2990,Clc1cc(Cl)c(Br)cc1Br,0,NA
2869,CC(C)(C)OC(=O)c1cncc(N)c1,0,NA
1955,C#CCNCC(C)C.Cl,0,NA
6018,COC(=O)c1cc2ncc(Cl)cn2n1,0,NA
8977,C#CCOC(=O)C1CN1C(C)C,0,NA
3469,COC(=O)c1cccc2oc(=O)[nH]c12,0,NA
6047,CCCNC(=O)C12CCC(C)(C(=O)C1Br)C2(C)C,0,NA
2890,CCn1c(S)nnc1-c1ccc(Cn2nc(C)c([N+](=O)[O-])c2C)cc1,0,NA
2163,N#Cc1ccc(-n2ccc3cccnc32)cc1,0,NA
2519,CC1=CCC2CCCC2CC1,0,NA
7657,O=C(O)c1ccn(-c2nccc(C(F)(F)F)n2)n1,0,NA
3787,Cn1cnc(Br)c1Br,0,NA
1084,COC(=O)c1sc(Br)c(C)c1NC(=O)C(F)(F)F,0,NA
4280,COC(=O)c1cc(OC(F)(F)F)cc(Cl)c1N,0,NA
9220,Cl.O=c1ccc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2[nH]1,0,NA
100,CCCCCCCCOc1ccc(cc1)/N=C/c1ccc(cc1)C(=O)Oc1ccc(c(c1)OC(=O)c1ccc(cc1)/C=N/c1ccc(cc1)OCCCCCCCC)CC,0,NA
6569,Cc1ccn(Cc2cc(C(=O)O)c3ccccc3n2)n1,0,NA
1488,CC(C)(CCCOc1ccc(Cl)cc1Cl)S/C(S)=N/C#N,0,NA
7877,C[C@H](Br)C(=O)c1ccccc1,0,NA
844,O=C(O)c1c[nH]c2cc(Cl)ncc12,0,NA
4064,N#Cc1ccc[n+](Cc2cc(=O)[nH]c(=O)[nH]2)c1,0,NA
5942,CCOC(=O)c1cc(C(C)c2ccccc2)sc1NC(=O)C1CC(C)=C(C)CC1C(=O)O,0,NA
6386,COC(=O)C(C)n1cncn1,0,NA
5958,CC(C)OCCCN1CC23C=CC(O2)C(C(=O)O)C3C1=O,0,NA
10054,CCCC=CCOC(C)=O,0,NA
6328,CCCCCCCCCC[N+](C)([O-])CCCCCCCCCC,0,NA
6628,COC(=O)C(C)Cn1cc([N+](=O)[O-])cn1,0,NA
5181,CCn1ncc(-c2cc(C(F)F)nc(NN)n2)c1C,0,NA
1446,O=C(O)Cc1ccc(C(F)F)c(F)c1,0,NA
546,FC(F)(Br)C(F)(F)Sc1ccccn1,0,NA
5968,CN(C)C(=O)C(C)(C)N.Cl,0,NA
4071,[H]\C(CCCCC(=O)OC)=C(\[H])C[C@]([H])(O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)[C@@]1([H])COC(C)(C)O1,0,NA
3865,N=C(N)NCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(N)=O,0,NA
786,COc1ccc2[nH]cc(Br)c2n1,0,NA
3477,CCCCCCCC(=O)NCC(=O)OCC,0,NA
2788,Cc1c([N+](=O)[O-])cnn1CC(=O)O,0,NA
4652,OCC(Cl)c1ccccc1,0,NA
9650,Br.Br.N[C@@H](CSSC[C@H](N)C(=O)Nc1ccc2ccccc2c1)C(=O)Nc1ccc2ccccc2c1,0,NA
9995,CC(C)(O)C1=C(N)C=C(F)C=C1,0,NA
4927,CC(C)(C)OC(=O)N1CCC(Nc2ccc(F)cc2N)CC1,0,NA
4508,CCC(C)(C)c1cc(Br)c(O)c(C(=O)O)c1,0,NA
2941,CCOC(=O)C1CCC2=CC=CC=C2C1O,0,NA
9241,COCOC(C)(C)C#CC(=O)C(C)[C@@]1(C)CCC2C(OC(=O)c3ccccc3)CCCC21,0,NA
4494,FC(F)CNCc1ccc(Cl)nc1,0,NA
8607,CCCSc1nnc(Sc2ncnc3c2cnn3C)s1,0,NA
